Rank,Feature,Coefficient_StdLogOdds,OddsRatio,AbsMagnitude,Direction
1,OverTime_Yes,1.6867,5.4015,1.6867,RISK
2,BusinessTravel_Travel_Frequently,1.4012,4.06,1.4012,RISK
3,JobRole_Laboratory Technician,1.225,3.4043,1.225,RISK
4,JobRole_Sales Representative,1.2237,3.3996,1.2237,RISK
5,JobRole_Research Director,-0.9116,0.4019,0.9116,PROTECTIVE
6,BusinessTravel_Travel_Rarely,0.742,2.1001,0.742,RISK
7,YearsAtCompany,0.6791,1.9722,0.6791,RISK
8,JobRole_Human Resources,0.6438,1.9036,0.6438,RISK
9,TotalWorkingYears,-0.6082,0.5443,0.6082,PROTECTIVE
10,EducationField_Life Sciences,-0.6067,0.5451,0.6067,PROTECTIVE
11,YearsInCurrentRole,-0.5176,0.5959,0.5176,PROTECTIVE
12,EducationField_Other,-0.5048,0.6036,0.5048,PROTECTIVE
13,YearsSinceLastPromotion,0.4932,1.6375,0.4932,RISK
14,EducationField_Technical Degree,0.4757,1.6092,0.4757,RISK
15,YearsWithCurrManager,-0.4697,0.6252,0.4697,PROTECTIVE
16,Department_Sales,0.4486,1.5662,0.4486,RISK
17,EducationField_Medical,-0.4457,0.6404,0.4457,PROTECTIVE
18,JobRole_Manager,-0.444,0.6415,0.444,PROTECTIVE
19,EnvironmentSatisfaction,-0.426,0.6531,0.426,PROTECTIVE
20,StockOptionLevel,-0.4159,0.6598,0.4159,PROTECTIVE
21,JobSatisfaction,-0.3817,0.6827,0.3817,PROTECTIVE
22,JobRole_Sales Executive,0.3617,1.4358,0.3617,RISK
23,NumCompaniesWorked,0.3513,1.421,0.3513,RISK
24,JobRole_Research Scientist,0.3396,1.4044,0.3396,RISK
25,JobInvolvement,-0.3122,0.7318,0.3122,PROTECTIVE
26,TrainingTimesLastYear,-0.2352,0.7904,0.2352,PROTECTIVE
27,JobLevel,0.228,1.2561,0.228,RISK
28,RelationshipSatisfaction,-0.2163,0.8055,0.2163,PROTECTIVE
29,MonthlyIncome,-0.2121,0.8089,0.2121,PROTECTIVE
30,EducationField_Marketing,-0.1867,0.8297,0.1867,PROTECTIVE
31,JobRole_Manufacturing Director,0.1834,1.2012,0.1834,RISK
32,WorkLifeBalance,-0.1767,0.8381,0.1767,PROTECTIVE
33,DailyRate,-0.1609,0.8514,0.1609,PROTECTIVE
34,PercentSalaryHike,-0.1585,0.8534,0.1585,PROTECTIVE
35,PerformanceRating,0.0722,1.0749,0.0722,RISK
36,MonthlyRate,0.0447,1.0457,0.0447,RISK
37,Department_Research & Development,-0.012,0.988,0.012,PROTECTIVE
38,Education,0.0043,1.0043,0.0043,RISK
39,HourlyRate,0.0013,1.0013,0.0013,RISK
