PriorityRank,EmployeeNumber,AttritionPropensity,Flagged,RiskBand,ReplacementLiability,ExpectedLoss,JobRole,Department,OverTime,JobLevel,YearsAtCompany,YearsSinceLastPromotion,StockOptionLevel,ActualOutcome_ValidationOnly
1,478,0.9955,1,Critical,86168,85781.0,Sales Representative,Sales,Yes,1,3,1,0,Left
2,1494,0.9855,1,Critical,86168,84919.0,Laboratory Technician,Research & Development,Yes,1,0,0,0,Left
3,622,0.985,1,Critical,86168,84878.0,Laboratory Technician,Research & Development,Yes,1,1,0,0,Left
4,1487,0.9807,1,Critical,86168,84501.0,Sales Executive,Sales,No,2,5,0,0,Left
5,554,0.9675,1,Critical,86168,83365.0,Sales Representative,Sales,Yes,1,5,1,0,Left
6,47,0.9662,1,Critical,86168,83258.0,Sales Representative,Sales,Yes,1,3,0,0,Left
7,1758,0.9652,1,Critical,86168,83172.0,Sales Executive,Sales,Yes,3,0,0,0,Left
8,1108,0.9643,1,Critical,86168,83089.0,Research Scientist,Research & Development,Yes,1,2,2,0,Left
9,614,0.962,1,Critical,86168,82891.0,Sales Representative,Sales,Yes,1,0,0,0,Left
10,1716,0.9612,1,Critical,86168,82821.0,Sales Executive,Sales,No,4,23,14,0,Left
11,1767,0.9543,1,Critical,86168,82233.0,Research Scientist,Research & Development,Yes,1,1,0,1,Left
12,1624,0.954,1,Critical,86168,82208.0,Sales Representative,Sales,Yes,1,0,0,0,Left
13,1464,0.9534,1,Critical,86168,82155.0,Laboratory Technician,Research & Development,Yes,1,2,2,1,Left
14,1439,0.9512,1,Critical,86168,81959.0,Sales Representative,Sales,No,1,3,2,0,Left
15,1279,0.9511,1,Critical,86168,81952.0,Laboratory Technician,Research & Development,No,1,2,2,0,Left
16,514,0.951,1,Critical,86168,81946.0,Research Scientist,Research & Development,Yes,1,1,0,0,Left
17,1862,0.9504,1,Critical,86168,81890.0,Sales Executive,Sales,Yes,2,2,2,0,Left
18,1649,0.9499,1,Critical,86168,81851.0,Laboratory Technician,Research & Development,Yes,1,4,0,0,Left
19,1273,0.9491,1,Critical,86168,81782.0,Sales Representative,Sales,Yes,1,1,1,0,Left
20,235,0.9458,1,Critical,86168,81497.0,Sales Representative,Sales,No,1,0,0,0,Left
21,783,0.9404,1,Critical,86168,81028.0,Sales Representative,Sales,No,2,8,3,0,Stayed
22,436,0.94,1,Critical,86168,80994.0,Sales Executive,Sales,Yes,2,13,11,0,Stayed
23,970,0.9397,1,Critical,86168,80974.0,Sales Executive,Sales,No,3,14,11,0,Left
24,1053,0.9394,1,Critical,86168,80950.0,Research Scientist,Research & Development,Yes,1,3,1,1,Left
25,33,0.9379,1,Critical,86168,80817.0,Research Scientist,Research & Development,Yes,1,10,6,0,Left
26,1569,0.9329,1,Critical,86168,80387.0,Laboratory Technician,Research & Development,Yes,1,1,0,1,Left
27,424,0.9315,1,Critical,86168,80269.0,Human Resources,Human Resources,No,2,2,1,0,Stayed
28,590,0.9314,1,Critical,86168,80258.0,Human Resources,Human Resources,Yes,3,3,0,3,Left
29,846,0.9311,1,Critical,86168,80229.0,Sales Executive,Sales,Yes,2,8,7,0,Stayed
30,390,0.9305,1,Critical,86168,80176.0,Healthcare Representative,Research & Development,Yes,2,5,3,1,Stayed
