Threshold,Recall,Recall_CI_Low,Recall_CI_High,Precision,Flagged,TruePositives,GrossBenefit,ProgrammeCost,NetBenefit,ROIPercent,BreakevenEffectiveness
0.2,0.907,0.863,0.938,0.231,930,215,5600000,5500000,0,0.6,0.298
0.25,0.886,0.839,0.921,0.252,833,210,5400000,5000000,500000,9.2,0.275
0.3,0.861,0.811,0.899,0.269,758,204,5300000,4500000,700000,16.2,0.258
0.35,0.831,0.778,0.874,0.288,685,197,5100000,4100000,1000000,23.6,0.243
0.4,0.789,0.733,0.836,0.303,617,187,4800000,3700000,1100000,29.6,0.231
0.45,0.751,0.692,0.802,0.334,533,178,4600000,3200000,1400000,41.7,0.212
0.5,0.743,0.683,0.794,0.369,477,176,4500000,2900000,1600000,55.5,0.193
0.55,0.692,0.631,0.747,0.385,426,164,4200000,2600000,1600000,61.1,0.186
0.6,0.654,0.591,0.712,0.431,360,155,4000000,2300000,1800000,77.8,0.169
0.65,0.599,0.536,0.659,0.466,305,142,3700000,1900000,1700000,89.5,0.158
0.7,0.532,0.468,0.594,0.51,247,126,3300000,1600000,1700000,103.1,0.148
0.75,0.464,0.402,0.528,0.553,199,110,2800000,1300000,1500000,114.1,0.14
0.8,0.405,0.345,0.469,0.611,157,96,2500000,1100000,1400000,128.3,0.131
0.85,0.295,0.241,0.356,0.714,98,70,1800000,700000,1100000,141.9,0.124
